rock_type,abbrev,岩石属性,density,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method,岩石分类,变质程度,地质意义
Biotite-gneiss,,黑云母片麻岩,2780,,6.12,,3.39,,300,MPa,25,felsic,amphibolite,64.96,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2780,,6.14,,3.43,,400,MPa,25,felsic,amphibolite,64.96,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2780,,6.17,,3.45,,500,MPa,25,felsic,amphibolite,64.96,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2780,,6.19,,3.46,,600,MPa,25,felsic,amphibolite,64.96,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Phlog.-graph.-gneiss,,金云母-石墨片麻岩,2840,,6.23,,3.56,,100,MPa,25,pelitic/mafic,amphibolite,51.77,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,含石墨，可反映还原环境或有机质变质
Phlog.-graph.-gneiss,,金云母-石墨片麻岩,2840,,6.27,,3.64,,200,MPa,25,pelitic/mafic,amphibolite,51.77,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,含石墨，可反映还原环境或有机质变质
Phlog.-graph.-gneiss,,金云母-石墨片麻岩,2840,,6.27,,3.7,,300,MPa,25,pelitic/mafic,amphibolite,51.77,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,含石墨，可反映还原环境或有机质变质
Phlog.-graph.-gneiss,,金云母-石墨片麻岩,2840,,6.27,,3.72,,400,MPa,25,pelitic/mafic,amphibolite,51.77,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,含石墨，可反映还原环境或有机质变质
Phlog.-graph.-gneiss,,金云母-石墨片麻岩,2840,,6.27,,3.72,,500,MPa,25,pelitic/mafic,amphibolite,51.77,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,含石墨，可反映还原环境或有机质变质
Phlog.-graph.-gneiss,,金云母-石墨片麻岩,2840,,6.27,,3.72,,600,MPa,25,pelitic/mafic,amphibolite,51.77,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,含石墨，可反映还原环境或有机质变质
Tremol.-serpentinite,,透闪石蛇纹岩,2760,,6.11,,3.18,,100,MPa,25,ultramafic,,38.25,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,绿片岩相,蛇纹岩受钙质交代，形成透闪石，常见于接触带
Tremol.-serpentinite,,透闪石蛇纹岩,2760,,6.16,,3.2,,200,MPa,25,ultramafic,,38.25,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,绿片岩相,蛇纹岩受钙质交代，形成透闪石，常见于接触带
Tremol.-serpentinite,,透闪石蛇纹岩,2760,,6.19,,3.19,,300,MPa,25,ultramafic,,38.25,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,绿片岩相,蛇纹岩受钙质交代，形成透闪石，常见于接触带
Tremol.-serpentinite,,透闪石蛇纹岩,2760,,6.23,,3.19,,400,MPa,25,ultramafic,,38.25,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,绿片岩相,蛇纹岩受钙质交代，形成透闪石，常见于接触带
Tremol.-serpentinite,,透闪石蛇纹岩,2760,,6.26,,3.19,,500,MPa,25,ultramafic,,38.25,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,绿片岩相,蛇纹岩受钙质交代，形成透闪石，常见于接触带
Tremol.-serpentinite,,透闪石蛇纹岩,2760,,6.29,,3.19,,600,MPa,25,ultramafic,,38.25,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,绿片岩相,蛇纹岩受钙质交代，形成透闪石，常见于接触带
Serpentinite,,蛇纹岩,2670,,4.52,,2.32,,100,MPa,25,ultramafic,,37.72,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2670,,4.66,,2.35,,200,MPa,25,ultramafic,,37.72,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2670,,4.78,,2.35,,300,MPa,25,ultramafic,,37.72,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2670,,4.89,,2.39,,400,MPa,25,ultramafic,,37.72,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2670,,4.99,,2.42,,500,MPa,25,ultramafic,,37.72,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2670,,5.08,,2.44,,600,MPa,25,ultramafic,,37.72,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Diopside Skarn,,透辉石矽卡岩,3220,,7.54,,4.32,,100,MPa,25,calcareous,amphibolite,54.68,Kern et al 2009,compiled_518_strict,变质岩（交代）,矽卡岩相,接触交代产物，常伴生铁、铜、钨矿产
Diopside Skarn,,透辉石矽卡岩,3220,,7.59,,4.36,,200,MPa,25,calcareous,amphibolite,54.68,Kern et al 2009,compiled_518_strict,变质岩（交代）,矽卡岩相,接触交代产物，常伴生铁、铜、钨矿产
Diopside Skarn,,透辉石矽卡岩,3220,,7.61,,4.38,,300,MPa,25,calcareous,amphibolite,54.68,Kern et al 2009,compiled_518_strict,变质岩（交代）,矽卡岩相,接触交代产物，常伴生铁、铜、钨矿产
Diopside Skarn,,透辉石矽卡岩,3220,,7.62,,4.39,,400,MPa,25,calcareous,amphibolite,54.68,Kern et al 2009,compiled_518_strict,变质岩（交代）,矽卡岩相,接触交代产物，常伴生铁、铜、钨矿产
Diopside Skarn,,透辉石矽卡岩,3220,,7.63,,4.4,,500,MPa,25,calcareous,amphibolite,54.68,Kern et al 2009,compiled_518_strict,变质岩（交代）,矽卡岩相,接触交代产物，常伴生铁、铜、钨矿产
Diopside Skarn,,透辉石矽卡岩,3220,,7.65,,4.4,,600,MPa,25,calcareous,amphibolite,54.68,Kern et al 2009,compiled_518_strict,变质岩（交代）,矽卡岩相,接触交代产物，常伴生铁、铜、钨矿产
Serpentinite,,蛇纹岩,2660,,4.52,,2.27,,100,MPa,25,ultramafic,,37.6,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2660,,4.67,,2.3,,200,MPa,25,ultramafic,,37.6,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2660,,4.79,,2.32,,300,MPa,25,ultramafic,,37.6,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2660,,4.9,,2.34,,400,MPa,25,ultramafic,,37.6,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2660,,4.98,,2.36,,500,MPa,25,ultramafic,,37.6,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Serpentinite,,蛇纹岩,2660,,5.08,,2.38,,600,MPa,25,ultramafic,,37.6,Kern et al 2009,compiled_518_strict,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Pyr.-graph.-hbl.-gneiss,,辉石-石墨-角闪石片麻岩,2790,,6.5,,3.66,,100,MPa,25,mafic,amphibolite,50.45,Kern et al 2009,compiled_518_strict,变质岩,麻粒岩相,含石墨的基性麻粒岩，指示还原条件
Pyr.-graph.-hbl.-gneiss,,辉石-石墨-角闪石片麻岩,2790,,6.58,,3.69,,200,MPa,25,mafic,amphibolite,50.45,Kern et al 2009,compiled_518_strict,变质岩,麻粒岩相,含石墨的基性麻粒岩，指示还原条件
Pyr.-graph.-hbl.-gneiss,,辉石-石墨-角闪石片麻岩,2790,,6.61,,3.74,,300,MPa,25,mafic,amphibolite,50.45,Kern et al 2009,compiled_518_strict,变质岩,麻粒岩相,含石墨的基性麻粒岩，指示还原条件
Pyr.-graph.-hbl.-gneiss,,辉石-石墨-角闪石片麻岩,2790,,6.63,,3.75,,400,MPa,25,mafic,amphibolite,50.45,Kern et al 2009,compiled_518_strict,变质岩,麻粒岩相,含石墨的基性麻粒岩，指示还原条件
Pyr.-graph.-hbl.-gneiss,,辉石-石墨-角闪石片麻岩,2790,,6.65,,3.76,,500,MPa,25,mafic,amphibolite,50.45,Kern et al 2009,compiled_518_strict,变质岩,麻粒岩相,含石墨的基性麻粒岩，指示还原条件
Pyr.-graph.-hbl.-gneiss,,辉石-石墨-角闪石片麻岩,2790,,6.66,,3.75,,600,MPa,25,mafic,amphibolite,50.45,Kern et al 2009,compiled_518_strict,变质岩,麻粒岩相,含石墨的基性麻粒岩，指示还原条件
Meta-pegmatoid,,变质似伟晶岩,2660,,6.29,,3.34,,100,MPa,25,felsic,,75.21,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,混合岩化作用形成的粗粒变质岩，不同于岩浆伟晶岩
Meta-pegmatoid,,变质似伟晶岩,2660,,6.36,,3.4,,200,MPa,25,felsic,,75.21,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,混合岩化作用形成的粗粒变质岩，不同于岩浆伟晶岩
Meta-pegmatoid,,变质似伟晶岩,2660,,6.38,,3.51,,300,MPa,25,felsic,,75.21,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,混合岩化作用形成的粗粒变质岩，不同于岩浆伟晶岩
Amphibolite,,斜长角闪岩,2880,,6.08,,3.33,,100,MPa,25,mafic,amphibolite,45.45,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2880,,6.41,,3.39,,200,MPa,25,mafic,amphibolite,45.45,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2880,,6.48,,3.54,,300,MPa,25,mafic,amphibolite,45.45,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2880,,6.53,,3.69,,400,MPa,25,mafic,amphibolite,45.45,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2880,,6.55,,3.77,,500,MPa,25,mafic,amphibolite,45.45,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2880,,6.57,,3.8,,600,MPa,25,mafic,amphibolite,45.45,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Biotite-gneiss,,黑云母片麻岩,2770,,5.91,,3.01,,100,MPa,25,felsic,amphibolite,66.69,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2770,,6.08,,3.12,,200,MPa,25,felsic,amphibolite,66.69,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2770,,6.14,,3.27,,300,MPa,25,felsic,amphibolite,66.69,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2770,,6.17,,3.35,,400,MPa,25,felsic,amphibolite,66.69,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2770,,6.19,,3.37,,500,MPa,25,felsic,amphibolite,66.69,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2770,,6.21,,3.38,,600,MPa,25,felsic,amphibolite,66.69,Kern et al 2009,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2750,,5.98,,3.25,,100,MPa,25,felsic,,70.16,Kern et al 2008,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2750,,6.01,,3.29,,200,MPa,25,felsic,,70.16,Kern et al 2008,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2750,,6.03,,3.35,,300,MPa,25,felsic,,70.16,Kern et al 2008,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2750,,6.06,,3.39,,400,MPa,25,felsic,,70.16,Kern et al 2008,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2750,,6.09,,3.41,,500,MPa,25,felsic,,70.16,Kern et al 2008,compiled_518_strict,变质岩,角闪岩相,同上
Biotite-gneiss,,黑云母片麻岩,2750,,6.1,,3.42,,600,MPa,25,felsic,,70.16,Kern et al 2008,compiled_518_strict,变质岩,角闪岩相,同上
Andesite-metaporphyrite,,青磐岩（变安山岩）,2950,,6.51,,3.76,,100,MPa,25,intermediate,amphibolite,54.5,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相（青磐岩化）,中低温热液蚀变岩，常作为金、银、铜矿找矿标志
Andesite-metaporphyrite,,青磐岩（变安山岩）,2950,,6.58,,3.81,,200,MPa,25,intermediate,amphibolite,54.5,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相（青磐岩化）,中低温热液蚀变岩，常作为金、银、铜矿找矿标志
Andesite-metaporphyrite,,青磐岩（变安山岩）,2950,,6.66,,3.85,,400,MPa,25,intermediate,amphibolite,54.5,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相（青磐岩化）,中低温热液蚀变岩，常作为金、银、铜矿找矿标志
Andesite-metaporphyrite,,青磐岩（变安山岩）,2950,,6.7,,3.86,,600,MPa,25,intermediate,amphibolite,54.5,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相（青磐岩化）,中低温热液蚀变岩，常作为金、银、铜矿找矿标志
Carbonatized Schist,,碳酸盐化片岩,2960,,5.48,,3.14,,100,MPa,25,可变（原岩多为mafic）,greenschist,44.18,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相,热液交代作用，常伴生金、铜矿化
Carbonatized Schist,,碳酸盐化片岩,2960,,5.67,,3.26,,200,MPa,25,可变（原岩多为mafic）,greenschist,44.18,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相,热液交代作用，常伴生金、铜矿化
Carbonatized Schist,,碳酸盐化片岩,2960,,5.82,,3.41,,400,MPa,25,可变（原岩多为mafic）,greenschist,44.18,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相,热液交代作用，常伴生金、铜矿化
Carbonatized Schist,,碳酸盐化片岩,2960,,5.92,,3.45,,600,MPa,25,可变（原岩多为mafic）,greenschist,44.18,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相,热液交代作用，常伴生金、铜矿化
Metam.arkose,,变质长石砂岩,2640,,6.62,,3.57,,100,MPa,25,,amphibolite,79.64,Kern et al 2001,compiled_518_strict,,,
Metam.arkose,,变质长石砂岩,2640,,6.65,,3.63,,200,MPa,25,,amphibolite,79.64,Kern et al 2001,compiled_518_strict,,,
Metam.arkose,,变质长石砂岩,2640,,6.7,,3.71,,400,MPa,25,,amphibolite,79.64,Kern et al 2001,compiled_518_strict,,,
Metam.arkose,,变质长石砂岩,2640,,6.74,,3.71,,600,MPa,25,,amphibolite,79.64,Kern et al 2001,compiled_518_strict,,,
Mylonitized Orthophyre,,糜棱岩化正长斑岩,2750,,5.89,,3.23,,100,MPa,25,felsic,greenschist,64.35,Kern et al 2001,compiled_518_strict,变质岩（动力）,绿片岩相-角闪岩相,正长斑岩在剪切带中韧性变形
Mylonitized Orthophyre,,糜棱岩化正长斑岩,2750,,6.19,,3.42,,200,MPa,25,felsic,greenschist,64.35,Kern et al 2001,compiled_518_strict,变质岩（动力）,绿片岩相-角闪岩相,正长斑岩在剪切带中韧性变形
Mylonitized Orthophyre,,糜棱岩化正长斑岩,2750,,6.31,,3.6,,400,MPa,25,felsic,greenschist,64.35,Kern et al 2001,compiled_518_strict,变质岩（动力）,绿片岩相-角闪岩相,正长斑岩在剪切带中韧性变形
Mylonitized Orthophyre,,糜棱岩化正长斑岩,2750,,6.35,,3.61,,600,MPa,25,felsic,greenschist,64.35,Kern et al 2001,compiled_518_strict,变质岩（动力）,绿片岩相-角闪岩相,正长斑岩在剪切带中韧性变形
Metadiabase,,变辉绿岩,2990,,5.8,,3.74,,100,MPa,25,mafic,glass,48.91,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相-角闪岩相,辉绿岩岩墙变质产物，常见于蛇绿岩套
Metadiabase,,变辉绿岩,2990,,5.88,,3.77,,200,MPa,25,mafic,glass,48.91,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相-角闪岩相,辉绿岩岩墙变质产物，常见于蛇绿岩套
Metadiabase,,变辉绿岩,2990,,5.95,,3.78,,400,MPa,25,mafic,glass,48.91,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相-角闪岩相,辉绿岩岩墙变质产物，常见于蛇绿岩套
Metadiabase,,变辉绿岩,2990,,5.99,,3.79,,600,MPa,25,mafic,glass,48.91,Kern et al 2001,compiled_518_strict,变质岩,绿片岩相-角闪岩相,辉绿岩岩墙变质产物，常见于蛇绿岩套
Andesite-plagioporphyrite,,安山玢岩,3010,,6.66,,3.67,,100,MPa,25,intermediate,greenschist,47.64,Kern et al 2001,compiled_518_strict,火成岩（浅成）,-,浅成-超浅成侵入岩，与斑岩型铜金矿有关
Andesite-plagioporphyrite,,安山玢岩,3010,,6.72,,3.7,,200,MPa,25,intermediate,greenschist,47.64,Kern et al 2001,compiled_518_strict,火成岩（浅成）,-,浅成-超浅成侵入岩，与斑岩型铜金矿有关
Andesite-plagioporphyrite,,安山玢岩,3010,,6.78,,3.73,,400,MPa,25,intermediate,greenschist,47.64,Kern et al 2001,compiled_518_strict,火成岩（浅成）,-,浅成-超浅成侵入岩，与斑岩型铜金矿有关
Andesite-plagioporphyrite,,安山玢岩,3010,,6.81,,3.74,,600,MPa,25,intermediate,greenschist,47.64,Kern et al 2001,compiled_518_strict,火成岩（浅成）,-,浅成-超浅成侵入岩，与斑岩型铜金矿有关
Qtz-fsp-amphibolite,,石英-长石斜长角闪岩,3080,,6.29,,3.3,,100,MPa,25,mafic,amphibolite,50.91,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,含石英的斜长角闪岩
Qtz-fsp-amphibolite,,石英-长石斜长角闪岩,3080,,6.68,,3.64,,200,MPa,25,mafic,amphibolite,50.91,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,含石英的斜长角闪岩
Qtz-fsp-amphibolite,,石英-长石斜长角闪岩,3080,,6.82,,3.96,,400,MPa,25,mafic,amphibolite,50.91,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,含石英的斜长角闪岩
Qtz-fsp-amphibolite,,石英-长石斜长角闪岩,3080,,6.86,,3.98,,600,MPa,25,mafic,amphibolite,50.91,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,含石英的斜长角闪岩
Bio-amphibolite,,黑云斜长角闪岩,3090,,6.1,,2.99,,100,MPa,25,mafic,amphibolite,45.98,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,基性变质岩，黑云母出现指示钾质交代
Bio-amphibolite,,黑云斜长角闪岩,3090,,6.47,,3.23,,200,MPa,25,mafic,amphibolite,45.98,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,基性变质岩，黑云母出现指示钾质交代
Bio-amphibolite,,黑云斜长角闪岩,3090,,6.69,,3.56,,400,MPa,25,mafic,amphibolite,45.98,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,基性变质岩，黑云母出现指示钾质交代
Bio-amphibolite,,黑云斜长角闪岩,3090,,6.78,,3.6,,600,MPa,25,mafic,amphibolite,45.98,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,基性变质岩，黑云母出现指示钾质交代
Bio-hbl-gneiss,,黑云母-角闪石片麻岩,3090,,6.37,,3.17,,100,MPa,25,intermediate/mafic,amphibolite,45.74,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中-基性变质岩，代表中地壳深成岩变质
Bio-hbl-gneiss,,黑云母-角闪石片麻岩,3090,,6.62,,3.36,,200,MPa,25,intermediate/mafic,amphibolite,45.74,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中-基性变质岩，代表中地壳深成岩变质
Bio-hbl-gneiss,,黑云母-角闪石片麻岩,3090,,6.76,,3.57,,400,MPa,25,intermediate/mafic,amphibolite,45.74,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中-基性变质岩，代表中地壳深成岩变质
Bio-hbl-gneiss,,黑云母-角闪石片麻岩,3090,,6.83,,3.58,,600,MPa,25,intermediate/mafic,amphibolite,45.74,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中-基性变质岩，代表中地壳深成岩变质
Bio-plagiogneiss,,黑云斜长片麻岩,2720,,6.07,,3.41,,100,MPa,25,felsic,amphibolite,63.13,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Bio-plagiogneiss,,黑云斜长片麻岩,2720,,6.18,,3.51,,200,MPa,25,felsic,amphibolite,63.13,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Bio-plagiogneiss,,黑云斜长片麻岩,2720,,6.23,,3.59,,400,MPa,25,felsic,amphibolite,63.13,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Bio-plagiogneiss,,黑云斜长片麻岩,2720,,6.26,,3.6,,600,MPa,25,felsic,amphibolite,63.13,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Bio-gneiss,,黑云母片麻岩,2720,,5.51,,2.74,,100,MPa,25,felsic,amphibolite,62.09,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于高级变质区，原岩为杂砂岩或花岗岩
Bio-gneiss,,黑云母片麻岩,2720,,5.98,,3.03,,200,MPa,25,felsic,amphibolite,62.09,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于高级变质区，原岩为杂砂岩或花岗岩
Bio-gneiss,,黑云母片麻岩,2720,,6.24,,3.38,,400,MPa,25,felsic,amphibolite,62.09,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于高级变质区，原岩为杂砂岩或花岗岩
Bio-gneiss,,黑云母片麻岩,2720,,6.33,,3.44,,600,MPa,25,felsic,amphibolite,62.09,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于高级变质区，原岩为杂砂岩或花岗岩
Bio-plagiogneiss,,黑云斜长片麻岩,2770,,6.07,,3.38,,100,MPa,25,felsic,amphibolite,56.29,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Bio-plagiogneiss,,黑云斜长片麻岩,2770,,6.16,,3.43,,200,MPa,25,felsic,amphibolite,56.29,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Bio-plagiogneiss,,黑云斜长片麻岩,2770,,6.22,,3.48,,400,MPa,25,felsic,amphibolite,56.29,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Bio-plagiogneiss,,黑云斜长片麻岩,2770,,6.26,,3.5,,600,MPa,25,felsic,amphibolite,56.29,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,常见于太古宙绿岩带，原岩多为中酸性火山岩
Amphibolite,,斜长角闪岩,3020,,6.75,,3.83,,100,MPa,25,mafic,amphibolite,48.87,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3020,,6.79,,3.88,,200,MPa,25,mafic,amphibolite,48.87,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3020,,6.82,,3.9,,400,MPa,25,mafic,amphibolite,48.87,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3020,,6.85,,3.9,,600,MPa,25,mafic,amphibolite,48.87,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2950,,6.21,,3.81,,100,MPa,25,mafic,amphibolite,52.93,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2950,,6.69,,3.87,,200,MPa,25,mafic,amphibolite,52.93,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2950,,6.87,,3.95,,400,MPa,25,mafic,amphibolite,52.93,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2950,,6.92,,3.97,,600,MPa,25,mafic,amphibolite,52.93,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3020,,6.73,,3.8,,100,MPa,25,mafic,amphibolite,53.6,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3020,,6.83,,3.89,,200,MPa,25,mafic,amphibolite,53.6,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3020,,6.89,,3.99,,400,MPa,25,mafic,amphibolite,53.6,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3020,,6.91,,3.99,,600,MPa,25,mafic,amphibolite,53.6,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Fsp-amphibolite,,长石质斜长角闪岩,2940,,5.97,,3.22,,100,MPa,25,mafic,amphibolite,52.91,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,基性岩变质，斜长石含量较高
Fsp-amphibolite,,长石质斜长角闪岩,2940,,6.51,,3.53,,200,MPa,25,mafic,amphibolite,52.91,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,基性岩变质，斜长石含量较高
Fsp-amphibolite,,长石质斜长角闪岩,2940,,6.84,,4.05,,400,MPa,25,mafic,amphibolite,52.91,Kern et al 2001,compiled_518_strict,变质岩,角闪岩相,基性岩变质，斜长石含量较高
