rock_type,abbrev,岩石属性,density,density_unit,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method
Gt-fs Gneiss,,,2.970,g/cm3,,6.210,,3.560,,0.600,GPa,25,,,54.740,Kern et al 2002,compiled_518_strict
Gt Felsic Leptynite,,,3.130,g/cm3,,7.060,,4.120,,0.600,GPa,25,,,54.000,Kern et al 2002,compiled_518_strict
Phengite Eclogite,,,3.000,g/cm3,,6.470,,3.630,,0.600,GPa,25,intermediate,,55.790,Kern et al 2002,compiled_518_strict
Granitic Gneiss,,,2.690,g/cm3,,6.260,,3.660,,0.600,GPa,25,felsic,amphibolite,76.940,Kern et al 2002,compiled_518_strict
Eclogite,,,3.440,g/cm3,,7.780,,4.410,,0.600,GPa,25,mafic,,48.630,Kern et al 2002,compiled_518_strict
Gt Granitic Gneiss,,,3.580,g/cm3,,8.140,,4.660,,0.600,GPa,25,,,45.220,Kern et al 2002,compiled_518_strict
Spinel Lherzolite,,,3.680,g/cm3,,7.760,,4.260,,0.600,GPa,25,ultramafic,,34.540,Kern et al 2002,compiled_518_strict
Gt-bearing Peridotite,,,3.410,g/cm3,,8.050,,4.650,,0.600,GPa,25,ultramafic,,46.520,Kern et al 2002,compiled_518_strict
Serpentinite,,,2.600,g/cm3,,5.080,,2.340,,0.600,GPa,25,,,40.360,Kern et al 2002,compiled_518_strict
Basalt,,,2.780,g/cm3,,5.880,,3.130,,0.600,GPa,25,,,50.300,Kern et al 2002,compiled_518_strict
Kimberlite,,,2.700,g/cm3,,5.400,,2.640,,0.600,GPa,25,ultramafic,,33.540,Kern et al 2002,compiled_518_strict
Hb-qtz Leptynite,,,3.010,g/cm3,,6.730,,3.810,,0.600,GPa,25,,,50.410,Kern et al 2002,compiled_518_strict
Gt Amphibolite,,,3.290,g/cm3,,6.630,,3.830,,0.600,GPa,25,,,44.080,Kern et al 2002,compiled_518_strict
Eclogite,,,3.530,g/cm3,,8.040,,4.650,,0.600,GPa,25,mafic,,48.550,Kern et al 2002,compiled_518_strict
Eclogite,,,3.350,g/cm3,,7.620,,4.430,,0.600,GPa,25,mafic,,50.850,Kern et al 2002,compiled_518_strict
K-fs Gneiss,,,2.650,g/cm3,,5.930,,3.500,,0.600,GPa,25,,,75.970,Kern et al 2002,compiled_518_strict
Mus-gt Felsic Leptynite,,,2.680,g/cm3,,6.280,,3.690,,0.600,GPa,25,,,76.350,Kern et al 2002,compiled_518_strict
Mus-gt Felsic Leptynite,,,2.690,g/cm3,,6.080,,3.570,,0.600,GPa,25,,,71.620,Kern et al 2002,compiled_518_strict
Eclogite,,,2.920,g/cm3,,6.850,,3.680,,0.600,GPa,25,mafic,,43.560,Kern et al 2002,compiled_518_strict
Eclogite,,,3.440,g/cm3,,8.110,,4.700,,0.600,GPa,25,mafic,,49.350,Kern et al 2002,compiled_518_strict
Layered Eclogite,,,3.590,g/cm3,,8.570,,4.900,,0.600,GPa,25,mafic,,43.570,Kern et al 2002,compiled_518_strict
Eclogite,,,3.470,g/cm3,,8.330,,4.710,,0.600,GPa,25,mafic,,46.140,Kern et al 2002,compiled_518_strict
Layered Eclogite,,,3.520,g/cm3,,8.480,,4.800,,0.600,GPa,25,mafic,,43.990,Kern et al 2002,compiled_518_strict
Eclogite,,,3.510,g/cm3,,8.380,,4.760,,0.600,GPa,25,mafic,,44.340,Kern et al 2002,compiled_518_strict
Layered Garnetite,,,3.620,g/cm3,,8.640,,4.930,,0.600,GPa,25,ultramafic,,43.320,Kern et al 2002,compiled_518_strict
Serpentinite,,,2.860,g/cm3,,6.440,,3.360,,0.600,GPa,25,,,,Kern et al 2002,compiled_518_strict
Pyrope Lherzolite,,,3.300,g/cm3,,7.890,,4.500,,0.600,GPa,25,ultramafic,,,Kern et al 2002,compiled_518_strict
Pyrope Lherzolite,,,3.290,g/cm3,,7.760,,4.380,,0.600,GPa,25,ultramafic,,,Kern et al 2002,compiled_518_strict
Bt-pl Gneiss,,,2.820,g/cm3,,6.300,,3.720,,0.600,GPa,25,felsic,amphibolite,,Kern et al 2002,compiled_518_strict
Uralitic Eclogite,,,3.010,g/cm3,,6.730,,3.820,,0.600,GPa,25,,,,Kern et al 2002,compiled_518_strict
Gt-bt-pl Gneiss,,,2.960,g/cm3,,6.610,,3.800,,0.600,GPa,25,,,,Kern et al 2002,compiled_518_strict
Uralitic Eclogite,,,3.420,g/cm3,,7.630,,4.530,,0.600,GPa,25,,,,Kern et al 2002,compiled_518_strict
Eclogite,,,3.510,g/cm3,,7.860,,4.500,,0.600,GPa,25,,,,Kern et al 2002,compiled_518_strict
Biotite-gneiss,,,2.820,g/cm3,,5.880,,3.250,,0.100,GPa,25,intermediate,amphibolite,62.830,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.820,g/cm3,,5.980,,3.290,,0.200,GPa,25,intermediate,amphibolite,62.830,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.820,g/cm3,,6.020,,3.350,,0.300,GPa,25,intermediate,amphibolite,62.830,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.820,g/cm3,,6.060,,3.390,,0.400,GPa,25,intermediate,amphibolite,62.830,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.820,g/cm3,,6.090,,3.410,,0.500,GPa,25,intermediate,amphibolite,62.830,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.820,g/cm3,,6.120,,3.420,,0.600,GPa,25,intermediate,amphibolite,62.830,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.740,g/cm3,,6.060,,3.360,,0.100,GPa,25,felsic,amphibolite,70.750,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.740,g/cm3,,6.110,,3.410,,0.200,GPa,25,felsic,amphibolite,70.750,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.740,g/cm3,,6.130,,3.470,,0.300,GPa,25,felsic,amphibolite,70.750,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.740,g/cm3,,6.150,,3.490,,0.400,GPa,25,felsic,amphibolite,70.750,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.740,g/cm3,,6.160,,3.500,,0.500,GPa,25,felsic,amphibolite,70.750,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.740,g/cm3,,6.170,,3.510,,0.600,GPa,25,felsic,amphibolite,70.750,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,5.980,,3.290,,0.100,GPa,25,felsic,amphibolite,70.160,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.010,,3.380,,0.200,GPa,25,felsic,amphibolite,70.160,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.030,,3.510,,0.300,GPa,25,felsic,amphibolite,70.160,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.060,,3.590,,0.400,GPa,25,felsic,amphibolite,70.160,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.090,,3.610,,0.500,GPa,25,felsic,amphibolite,70.160,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.100,,3.620,,0.600,GPa,25,felsic,amphibolite,70.160,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.780,g/cm3,,5.970,,3.200,,0.100,GPa,25,felsic,amphibolite,64.960,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.780,g/cm3,,6.080,,3.290,,0.200,GPa,25,felsic,amphibolite,64.960,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.780,g/cm3,,6.120,,3.390,,0.300,GPa,25,felsic,amphibolite,64.960,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.780,g/cm3,,6.140,,3.430,,0.400,GPa,25,felsic,amphibolite,64.960,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.780,g/cm3,,6.170,,3.450,,0.500,GPa,25,felsic,amphibolite,64.960,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.780,g/cm3,,6.190,,3.460,,0.600,GPa,25,felsic,amphibolite,64.960,Kern et al 2009,compiled_518_strict
Phlog.-graph.-gneiss,,,2.840,g/cm3,,6.230,,3.560,,0.100,GPa,25,mafic,amphibolite,51.770,Kern et al 2009,compiled_518_strict
Phlog.-graph.-gneiss,,,2.840,g/cm3,,6.270,,3.640,,0.200,GPa,25,mafic,amphibolite,51.770,Kern et al 2009,compiled_518_strict
Phlog.-graph.-gneiss,,,2.840,g/cm3,,6.270,,3.700,,0.300,GPa,25,mafic,amphibolite,51.770,Kern et al 2009,compiled_518_strict
Phlog.-graph.-gneiss,,,2.840,g/cm3,,6.270,,3.720,,0.400,GPa,25,mafic,amphibolite,51.770,Kern et al 2009,compiled_518_strict
Phlog.-graph.-gneiss,,,2.840,g/cm3,,6.270,,3.720,,0.500,GPa,25,mafic,amphibolite,51.770,Kern et al 2009,compiled_518_strict
Phlog.-graph.-gneiss,,,2.840,g/cm3,,6.270,,3.720,,0.600,GPa,25,mafic,amphibolite,51.770,Kern et al 2009,compiled_518_strict
Tremol.-serpentinite,,,2.760,g/cm3,,6.110,,3.180,,0.100,GPa,25,,,38.250,Kern et al 2009,compiled_518_strict
Tremol.-serpentinite,,,2.760,g/cm3,,6.160,,3.200,,0.200,GPa,25,,,38.250,Kern et al 2009,compiled_518_strict
Tremol.-serpentinite,,,2.760,g/cm3,,6.190,,3.190,,0.300,GPa,25,,,38.250,Kern et al 2009,compiled_518_strict
Tremol.-serpentinite,,,2.760,g/cm3,,6.230,,3.190,,0.400,GPa,25,,,38.250,Kern et al 2009,compiled_518_strict
Tremol.-serpentinite,,,2.760,g/cm3,,6.260,,3.190,,0.500,GPa,25,,,38.250,Kern et al 2009,compiled_518_strict
Tremol.-serpentinite,,,2.760,g/cm3,,6.290,,3.190,,0.600,GPa,25,,,38.250,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.670,g/cm3,,4.520,,2.320,,0.100,GPa,25,,,37.720,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.670,g/cm3,,4.660,,2.350,,0.200,GPa,25,,,37.720,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.670,g/cm3,,4.780,,2.350,,0.300,GPa,25,,,37.720,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.670,g/cm3,,4.890,,2.390,,0.400,GPa,25,,,37.720,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.670,g/cm3,,4.990,,2.420,,0.500,GPa,25,,,37.720,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.670,g/cm3,,5.080,,2.440,,0.600,GPa,25,,,37.720,Kern et al 2009,compiled_518_strict
Diopside Skarn,,,3.220,g/cm3,,7.540,,4.320,,0.100,GPa,25,intermediate,amphibolite,54.680,Kern et al 2009,compiled_518_strict
Diopside Skarn,,,3.220,g/cm3,,7.590,,4.360,,0.200,GPa,25,intermediate,amphibolite,54.680,Kern et al 2009,compiled_518_strict
Diopside Skarn,,,3.220,g/cm3,,7.610,,4.380,,0.300,GPa,25,intermediate,amphibolite,54.680,Kern et al 2009,compiled_518_strict
Diopside Skarn,,,3.220,g/cm3,,7.620,,4.390,,0.400,GPa,25,intermediate,amphibolite,54.680,Kern et al 2009,compiled_518_strict
Diopside Skarn,,,3.220,g/cm3,,7.630,,4.400,,0.500,GPa,25,intermediate,amphibolite,54.680,Kern et al 2009,compiled_518_strict
Diopside Skarn,,,3.220,g/cm3,,7.650,,4.400,,0.600,GPa,25,intermediate,amphibolite,54.680,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.660,g/cm3,,4.520,,2.270,,0.100,GPa,25,,,37.600,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.660,g/cm3,,4.670,,2.300,,0.200,GPa,25,,,37.600,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.660,g/cm3,,4.790,,2.320,,0.300,GPa,25,,,37.600,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.660,g/cm3,,4.900,,2.340,,0.400,GPa,25,,,37.600,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.660,g/cm3,,4.980,,2.360,,0.500,GPa,25,,,37.600,Kern et al 2009,compiled_518_strict
Serpentinite,,,2.660,g/cm3,,5.080,,2.380,,0.600,GPa,25,,,37.600,Kern et al 2009,compiled_518_strict
Pyr.-graph.-hbl.-gneiss,,,2.790,g/cm3,,6.500,,3.660,,0.100,GPa,25,mafic,amphibolite,50.450,Kern et al 2009,compiled_518_strict
Pyr.-graph.-hbl.-gneiss,,,2.790,g/cm3,,6.580,,3.690,,0.200,GPa,25,mafic,amphibolite,50.450,Kern et al 2009,compiled_518_strict
Pyr.-graph.-hbl.-gneiss,,,2.790,g/cm3,,6.610,,3.740,,0.300,GPa,25,mafic,amphibolite,50.450,Kern et al 2009,compiled_518_strict
Pyr.-graph.-hbl.-gneiss,,,2.790,g/cm3,,6.630,,3.750,,0.400,GPa,25,mafic,amphibolite,50.450,Kern et al 2009,compiled_518_strict
Pyr.-graph.-hbl.-gneiss,,,2.790,g/cm3,,6.650,,3.760,,0.500,GPa,25,mafic,amphibolite,50.450,Kern et al 2009,compiled_518_strict
Pyr.-graph.-hbl.-gneiss,,,2.790,g/cm3,,6.660,,3.750,,0.600,GPa,25,mafic,amphibolite,50.450,Kern et al 2009,compiled_518_strict
Meta-pegmatoid,,,2.660,g/cm3,,6.290,,3.340,,0.100,GPa,25,,,75.210,Kern et al 2009,compiled_518_strict
Meta-pegmatoid,,,2.660,g/cm3,,6.360,,3.400,,0.200,GPa,25,,,75.210,Kern et al 2009,compiled_518_strict
Meta-pegmatoid,,,2.660,g/cm3,,6.380,,3.510,,0.300,GPa,25,,,75.210,Kern et al 2009,compiled_518_strict
Amphibolite,,,2.880,g/cm3,,6.080,,3.330,,0.100,GPa,25,mafic,amphibolite,45.450,Kern et al 2009,compiled_518_strict
Amphibolite,,,2.880,g/cm3,,6.410,,3.390,,0.200,GPa,25,mafic,amphibolite,45.450,Kern et al 2009,compiled_518_strict
Amphibolite,,,2.880,g/cm3,,6.480,,3.540,,0.300,GPa,25,mafic,amphibolite,45.450,Kern et al 2009,compiled_518_strict
Amphibolite,,,2.880,g/cm3,,6.530,,3.690,,0.400,GPa,25,mafic,amphibolite,45.450,Kern et al 2009,compiled_518_strict
Amphibolite,,,2.880,g/cm3,,6.550,,3.770,,0.500,GPa,25,mafic,amphibolite,45.450,Kern et al 2009,compiled_518_strict
Amphibolite,,,2.880,g/cm3,,6.570,,3.800,,0.600,GPa,25,mafic,amphibolite,45.450,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.770,g/cm3,,5.910,,3.010,,0.100,GPa,25,felsic,amphibolite,66.690,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.770,g/cm3,,6.080,,3.120,,0.200,GPa,25,felsic,amphibolite,66.690,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.770,g/cm3,,6.140,,3.270,,0.300,GPa,25,felsic,amphibolite,66.690,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.770,g/cm3,,6.170,,3.350,,0.400,GPa,25,felsic,amphibolite,66.690,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.770,g/cm3,,6.190,,3.370,,0.500,GPa,25,felsic,amphibolite,66.690,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.770,g/cm3,,6.210,,3.380,,0.600,GPa,25,felsic,amphibolite,66.690,Kern et al 2009,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,5.980,,3.250,,0.100,GPa,25,felsic,,70.160,Kern et al 2008,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.010,,3.290,,0.200,GPa,25,felsic,,70.160,Kern et al 2008,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.030,,3.350,,0.300,GPa,25,felsic,,70.160,Kern et al 2008,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.060,,3.390,,0.400,GPa,25,felsic,,70.160,Kern et al 2008,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.090,,3.410,,0.500,GPa,25,felsic,,70.160,Kern et al 2008,compiled_518_strict
Biotite-gneiss,,,2.750,g/cm3,,6.100,,3.420,,0.600,GPa,25,felsic,,70.160,Kern et al 2008,compiled_518_strict
Andesite-metaporphyrite,,,2.950,g/cm3,,6.510,,3.760,,0.100,GPa,25,intermediate,amphibolite,54.500,Kern et al 2001,compiled_518_strict
Andesite-metaporphyrite,,,2.950,g/cm3,,6.580,,3.810,,0.200,GPa,25,intermediate,amphibolite,54.500,Kern et al 2001,compiled_518_strict
Andesite-metaporphyrite,,,2.950,g/cm3,,6.660,,3.850,,0.400,GPa,25,intermediate,amphibolite,54.500,Kern et al 2001,compiled_518_strict
Andesite-metaporphyrite,,,2.950,g/cm3,,6.700,,3.860,,0.600,GPa,25,intermediate,amphibolite,54.500,Kern et al 2001,compiled_518_strict
Carbonatized Schist,,,2.960,g/cm3,,5.480,,3.140,,0.100,GPa,25,,greenschist,44.180,Kern et al 2001,compiled_518_strict
Carbonatized Schist,,,2.960,g/cm3,,5.670,,3.260,,0.200,GPa,25,,greenschist,44.180,Kern et al 2001,compiled_518_strict
Carbonatized Schist,,,2.960,g/cm3,,5.820,,3.410,,0.400,GPa,25,,greenschist,44.180,Kern et al 2001,compiled_518_strict
Carbonatized Schist,,,2.960,g/cm3,,5.920,,3.450,,0.600,GPa,25,,greenschist,44.180,Kern et al 2001,compiled_518_strict
Metam.arkose,,,2.640,g/cm3,,6.620,,3.570,,0.100,GPa,25,,amphibolite,79.640,Kern et al 2001,compiled_518_strict
Metam.arkose,,,2.640,g/cm3,,6.650,,3.630,,0.200,GPa,25,,amphibolite,79.640,Kern et al 2001,compiled_518_strict
Metam.arkose,,,2.640,g/cm3,,6.700,,3.710,,0.400,GPa,25,,amphibolite,79.640,Kern et al 2001,compiled_518_strict
Metam.arkose,,,2.640,g/cm3,,6.740,,3.710,,0.600,GPa,25,,amphibolite,79.640,Kern et al 2001,compiled_518_strict
Mylonitized Orthophyre,,,2.750,g/cm3,,5.890,,3.230,,0.100,GPa,25,,greenschist,64.350,Kern et al 2001,compiled_518_strict
Mylonitized Orthophyre,,,2.750,g/cm3,,6.190,,3.420,,0.200,GPa,25,,greenschist,64.350,Kern et al 2001,compiled_518_strict
Mylonitized Orthophyre,,,2.750,g/cm3,,6.310,,3.600,,0.400,GPa,25,,greenschist,64.350,Kern et al 2001,compiled_518_strict
Mylonitized Orthophyre,,,2.750,g/cm3,,6.350,,3.610,,0.600,GPa,25,,greenschist,64.350,Kern et al 2001,compiled_518_strict
Metadiabase,,,2.990,g/cm3,,5.800,,3.740,,0.100,GPa,25,,glass,48.910,Kern et al 2001,compiled_518_strict
Metadiabase,,,2.990,g/cm3,,5.880,,3.770,,0.200,GPa,25,,glass,48.910,Kern et al 2001,compiled_518_strict
Metadiabase,,,2.990,g/cm3,,5.950,,3.780,,0.400,GPa,25,,glass,48.910,Kern et al 2001,compiled_518_strict
Metadiabase,,,2.990,g/cm3,,5.990,,3.790,,0.600,GPa,25,,glass,48.910,Kern et al 2001,compiled_518_strict
Andesite-plagioporphyrite,,,3.010,g/cm3,,6.660,,3.670,,0.100,GPa,25,,greenschist,47.640,Kern et al 2001,compiled_518_strict
Andesite-plagioporphyrite,,,3.010,g/cm3,,6.720,,3.700,,0.200,GPa,25,,greenschist,47.640,Kern et al 2001,compiled_518_strict
Andesite-plagioporphyrite,,,3.010,g/cm3,,6.780,,3.730,,0.400,GPa,25,,greenschist,47.640,Kern et al 2001,compiled_518_strict
Andesite-plagioporphyrite,,,3.010,g/cm3,,6.810,,3.740,,0.600,GPa,25,,greenschist,47.640,Kern et al 2001,compiled_518_strict
Qtz-fsp-amphibolite,,,3.080,g/cm3,,6.290,,3.300,,0.100,GPa,25,mafic,amphibolite,50.910,Kern et al 2001,compiled_518_strict
Qtz-fsp-amphibolite,,,3.080,g/cm3,,6.680,,3.640,,0.200,GPa,25,mafic,amphibolite,50.910,Kern et al 2001,compiled_518_strict
Qtz-fsp-amphibolite,,,3.080,g/cm3,,6.820,,3.960,,0.400,GPa,25,mafic,amphibolite,50.910,Kern et al 2001,compiled_518_strict
Qtz-fsp-amphibolite,,,3.080,g/cm3,,6.860,,3.980,,0.600,GPa,25,mafic,amphibolite,50.910,Kern et al 2001,compiled_518_strict
Bio-amphibolite,,,3.090,g/cm3,,6.100,,2.990,,0.100,GPa,25,mafic,amphibolite,45.980,Kern et al 2001,compiled_518_strict
Bio-amphibolite,,,3.090,g/cm3,,6.470,,3.230,,0.200,GPa,25,mafic,amphibolite,45.980,Kern et al 2001,compiled_518_strict
Bio-amphibolite,,,3.090,g/cm3,,6.690,,3.560,,0.400,GPa,25,mafic,amphibolite,45.980,Kern et al 2001,compiled_518_strict
Bio-amphibolite,,,3.090,g/cm3,,6.780,,3.600,,0.600,GPa,25,mafic,amphibolite,45.980,Kern et al 2001,compiled_518_strict
Bio-hbl-gneiss,,,3.090,g/cm3,,6.370,,3.170,,0.100,GPa,25,mafic,amphibolite,45.740,Kern et al 2001,compiled_518_strict
Bio-hbl-gneiss,,,3.090,g/cm3,,6.620,,3.360,,0.200,GPa,25,mafic,amphibolite,45.740,Kern et al 2001,compiled_518_strict
Bio-hbl-gneiss,,,3.090,g/cm3,,6.760,,3.570,,0.400,GPa,25,mafic,amphibolite,45.740,Kern et al 2001,compiled_518_strict
Bio-hbl-gneiss,,,3.090,g/cm3,,6.830,,3.580,,0.600,GPa,25,mafic,amphibolite,45.740,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.720,g/cm3,,6.070,,3.410,,0.100,GPa,25,felsic,amphibolite,63.130,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.720,g/cm3,,6.180,,3.510,,0.200,GPa,25,felsic,amphibolite,63.130,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.720,g/cm3,,6.230,,3.590,,0.400,GPa,25,felsic,amphibolite,63.130,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.720,g/cm3,,6.260,,3.600,,0.600,GPa,25,felsic,amphibolite,63.130,Kern et al 2001,compiled_518_strict
Bio-gneiss,,,2.720,g/cm3,,5.510,,2.740,,0.100,GPa,25,intermediate,amphibolite,62.090,Kern et al 2001,compiled_518_strict
Bio-gneiss,,,2.720,g/cm3,,5.980,,3.030,,0.200,GPa,25,intermediate,amphibolite,62.090,Kern et al 2001,compiled_518_strict
Bio-gneiss,,,2.720,g/cm3,,6.240,,3.380,,0.400,GPa,25,intermediate,amphibolite,62.090,Kern et al 2001,compiled_518_strict
Bio-gneiss,,,2.720,g/cm3,,6.330,,3.440,,0.600,GPa,25,intermediate,amphibolite,62.090,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.770,g/cm3,,6.070,,3.380,,0.100,GPa,25,intermediate,amphibolite,56.290,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.770,g/cm3,,6.160,,3.430,,0.200,GPa,25,intermediate,amphibolite,56.290,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.770,g/cm3,,6.220,,3.480,,0.400,GPa,25,intermediate,amphibolite,56.290,Kern et al 2001,compiled_518_strict
Bio-plagiogneiss,,,2.770,g/cm3,,6.260,,3.500,,0.600,GPa,25,intermediate,amphibolite,56.290,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.750,,3.830,,0.100,GPa,25,mafic,amphibolite,48.870,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.790,,3.880,,0.200,GPa,25,mafic,amphibolite,48.870,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.820,,3.900,,0.400,GPa,25,mafic,amphibolite,48.870,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.850,,3.900,,0.600,GPa,25,mafic,amphibolite,48.870,Kern et al 2001,compiled_518_strict
Amphibolite,,,2.950,g/cm3,,6.210,,3.810,,0.100,GPa,25,intermediate,amphibolite,52.930,Kern et al 2001,compiled_518_strict
Amphibolite,,,2.950,g/cm3,,6.690,,3.870,,0.200,GPa,25,intermediate,amphibolite,52.930,Kern et al 2001,compiled_518_strict
Amphibolite,,,2.950,g/cm3,,6.870,,3.950,,0.400,GPa,25,intermediate,amphibolite,52.930,Kern et al 2001,compiled_518_strict
Amphibolite,,,2.950,g/cm3,,6.920,,3.970,,0.600,GPa,25,intermediate,amphibolite,52.930,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.730,,3.800,,0.100,GPa,25,intermediate,amphibolite,53.600,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.830,,3.890,,0.200,GPa,25,intermediate,amphibolite,53.600,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.890,,3.990,,0.400,GPa,25,intermediate,amphibolite,53.600,Kern et al 2001,compiled_518_strict
Amphibolite,,,3.020,g/cm3,,6.910,,3.990,,0.600,GPa,25,intermediate,amphibolite,53.600,Kern et al 2001,compiled_518_strict
Fsp-amphibolite,,,2.940,g/cm3,,5.970,,3.220,,0.100,GPa,25,intermediate,amphibolite,52.910,Kern et al 2001,compiled_518_strict
Fsp-amphibolite,,,2.940,g/cm3,,6.510,,3.530,,0.200,GPa,25,intermediate,amphibolite,52.910,Kern et al 2001,compiled_518_strict
Fsp-amphibolite,,,2.940,g/cm3,,6.840,,4.050,,0.400,GPa,25,intermediate,amphibolite,52.910,Kern et al 2001,compiled_518_strict
Fsp-amphibolite,,,2.940,g/cm3,,6.930,,4.080,,0.600,GPa,25,intermediate,amphibolite,52.910,Kern et al 2001,compiled_518_strict
Serpentinite,,,2.720,g/cm3,,6.890,,,,0.200,GPa,25,,,,Kern et al 1997,compiled_518_strict
Serpentinite,,,2.720,g/cm3,,6.960,,,,0.400,GPa,25,,,,Kern et al 1997,compiled_518_strict
Serpentinite,,,2.720,g/cm3,,7.010,,,,0.600,GPa,25,,,,Kern et al 1997,compiled_518_strict
Amphibolite,,,3.040,g/cm3,,6.860,,,,0.200,GPa,25,mafic,amphibolite,,Kern et al 1997,compiled_518_strict
Amphibolite,,,3.040,g/cm3,,7.050,,,,0.400,GPa,25,mafic,amphibolite,,Kern et al 1997,compiled_518_strict
Amphibolite,,,3.040,g/cm3,,7.130,,,,0.600,GPa,25,mafic,amphibolite,,Kern et al 1997,compiled_518_strict
Amphibolite,,,3.100,g/cm3,,6.400,,3.540,,0.100,GPa,25,mafic,amphibolite,46.120,Punturo et al 2005,compiled_518_strict
Amphibolite,,,3.100,g/cm3,,6.600,,3.650,,0.200,GPa,25,mafic,amphibolite,46.120,Punturo et al 2005,compiled_518_strict
Amphibolite,,,3.100,g/cm3,,6.740,,3.790,,0.400,GPa,25,mafic,amphibolite,46.120,Punturo et al 2005,compiled_518_strict
Amphibolite,,,3.100,g/cm3,,6.800,,3.820,,0.600,GPa,25,mafic,amphibolite,46.120,Punturo et al 2005,compiled_518_strict
Paragneiss,,,2.800,g/cm3,,5.880,,3.310,,0.100,GPa,25,pelitic,amphibolite,59.890,Punturo et al 2005,compiled_518_strict
Paragneiss,,,2.800,g/cm3,,6.000,,3.350,,0.200,GPa,25,pelitic,amphibolite,59.890,Punturo et al 2005,compiled_518_strict
Paragneiss,,,2.800,g/cm3,,6.090,,3.440,,0.400,GPa,25,pelitic,amphibolite,59.890,Punturo et al 2005,compiled_518_strict
