model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_s,x_conv_km,h_km,vp_vs_ratio
101.384000,84.860000,16.524000,0.940779,nan,nan,nan,nan
101.535000,84.860000,16.675000,0.939796,nan,nan,nan,nan
101.689000,84.860000,16.829000,0.938004,nan,nan,nan,nan
101.842000,84.860000,16.982000,0.935327,0.885162,85.498663,1.489036,2.912126
101.993000,84.860000,17.133000,0.931387,0.913682,85.529991,1.530940,2.913612
102.147000,84.860000,17.287000,0.927868,0.919009,85.545402,1.534652,2.913743
102.297000,84.860000,17.437000,0.925250,0.924450,85.560819,1.538482,2.913879
102.461000,84.860000,17.601000,0.925861,0.930635,85.578025,1.542861,2.914034
102.612000,84.860000,17.752000,0.926444,0.936949,85.595317,1.547330,2.914193
102.763000,84.860000,17.903000,0.926694,0.943814,85.613902,1.552155,2.914364
102.916000,84.860000,18.056000,0.927187,0.950919,85.632990,1.557077,2.914539
103.067000,84.860000,18.207000,0.928115,0.957938,85.651786,1.561831,2.914707
103.218000,84.860000,18.358000,0.930422,0.965053,85.670854,1.566504,2.914873
103.371000,84.860000,18.511000,0.933187,0.971704,85.688756,1.570709,2.915022
103.522000,84.860000,18.662000,0.934378,0.943945,85.675974,1.518263,2.916760
103.683000,84.860000,18.823000,0.936581,0.941541,85.685176,1.508242,2.916799
103.837000,84.860000,18.977000,0.939221,0.939158,85.692838,1.499011,2.916835
103.988000,84.860000,19.128000,0.941052,0.937812,85.700597,1.491826,2.916862
104.152000,84.860000,19.292000,0.941889,0.935892,85.705757,1.484846,2.916889
104.313000,84.860000,19.453000,0.942011,0.933911,85.710707,1.477815,2.916916
104.467000,84.860000,19.607000,0.944000,0.947125,85.727258,1.496192,2.916846
104.628000,84.860000,19.768000,0.945016,0.947036,85.731792,1.493355,2.916856
104.792000,84.860000,19.932000,0.946347,0.946972,85.735243,1.491190,2.916865
104.946000,84.860000,20.086000,0.947669,0.946922,85.738043,1.489430,2.916872
105.107000,84.860000,20.247000,0.948021,0.946875,85.740880,1.487646,2.916878
105.258000,84.860000,20.398000,0.948587,0.946834,85.743441,1.486035,2.916885
105.422000,84.860000,20.562000,0.948010,0.946790,85.746474,1.484126,2.916892
105.573000,84.860000,20.713000,0.947495,0.946741,85.750220,1.481768,2.916901
105.727000,84.860000,20.867000,0.946919,0.946699,85.754047,1.479362,2.916910
105.891000,84.860000,21.031000,0.946542,0.946656,85.758981,1.476265,2.916922
106.042000,84.860000,21.182000,0.946920,0.946629,85.763648,1.473344,2.916934
106.203000,84.860000,21.343000,0.947390,0.946617,85.768736,1.470170,2.916946
106.367000,84.860000,21.507000,0.948193,0.946623,85.774002,1.466902,2.916958
106.518000,84.860000,21.658000,0.949711,0.946649,85.779152,1.463724,2.916971
106.679000,84.860000,21.819000,0.949909,0.946707,85.785194,1.460023,2.916985
106.830000,84.860000,21.970000,0.951297,0.946791,85.790993,1.456499,2.916999
106.991000,84.860000,22.131000,0.954317,0.946952,85.798861,1.451772,2.917017
107.145000,84.860000,22.285000,0.955813,0.947161,85.806443,1.447277,2.917034
107.295000,84.860000,22.435000,0.957539,0.947430,85.814206,1.442740,2.917052
107.457000,84.860000,22.597000,0.959102,0.947792,85.822761,1.437819,2.917071
107.607000,84.860000,22.747000,0.960155,0.948162,85.830198,1.433611,2.917087
107.768000,84.860000,22.908000,0.959800,0.948581,85.837588,1.429492,2.917103
107.922000,84.860000,23.062000,0.959540,0.949009,85.844366,1.425767,2.917117
108.083000,84.860000,23.223000,0.960579,0.941631,85.841811,1.411087,2.917174
108.234000,84.860000,23.374000,0.960132,0.942103,85.847108,1.408426,2.917184
108.395000,84.860000,23.535000,0.958841,0.942415,85.850451,1.406768,2.917190
108.543000,84.860000,23.683000,0.956141,0.942689,85.853289,1.405373,2.917196
108.694000,84.860000,23.834000,0.950865,0.942845,85.854862,1.404605,2.917199
108.855000,84.860000,23.995000,0.946743,0.942905,85.855460,1.404313,2.917200
109.005000,84.860000,24.145000,0.942035,0.942927,85.855686,1.404203,2.917200
109.167000,84.860000,24.307000,0.937268,0.942850,85.854915,1.404578,2.917199
109.314000,84.860000,24.454000,0.932875,0.942781,85.854217,1.404919,2.917197
109.479000,84.860000,24.619000,0.929629,0.942472,85.851044,1.406476,2.917191
109.640000,84.860000,24.780000,0.926281,0.942168,85.847821,1.408071,2.917185
109.791000,84.860000,24.931000,0.922143,0.941712,85.842747,1.410614,2.917175
109.952000,84.860000,25.092000,0.918729,0.949033,85.844723,1.425572,2.917118
110.103000,84.860000,25.243000,0.916790,0.948674,85.839107,1.428652,2.917106
110.264000,84.860000,25.404000,0.916416,0.948332,85.833294,1.431878,2.917093
110.417000,84.860000,25.557000,0.916920,0.948034,85.827747,1.434991,2.917081
110.579000,84.860000,25.719000,0.918262,0.947736,85.821533,1.438521,2.917068
110.729000,84.860000,25.869000,0.918482,0.947493,85.815817,1.441807,2.917055
110.880000,84.860000,26.020000,0.920613,0.947261,85.809531,1.445464,2.917041
111.041000,84.860000,26.181000,0.923095,0.947053,85.802758,1.449454,2.917026
111.192000,84.860000,26.332000,0.925763,0.946944,85.798516,1.451978,2.917016
111.353000,84.860000,26.493000,0.927511,0.946886,85.795926,1.453528,2.917010
111.504000,84.860000,26.644000,0.928936,0.946853,85.794329,1.454487,2.917006
111.665000,84.860000,26.805000,0.929124,0.946877,85.795523,1.453770,2.917009
111.816000,84.860000,26.956000,0.928932,0.946901,85.796644,1.453097,2.917012
111.977000,84.860000,27.117000,0.927353,0.946973,85.799705,1.451268,2.917019
112.128000,84.860000,27.268000,0.927940,0.947052,85.802705,1.449485,2.917026
112.289000,84.860000,27.429000,0.928672,0.947189,85.807320,1.446760,2.917036
112.440000,84.860000,27.580000,0.930999,0.947361,85.812376,1.443803,2.917047
112.587000,84.860000,27.727000,0.932402,0.947577,85.817887,1.440612,2.917060
112.749000,84.860000,27.889000,0.931412,0.947917,85.825396,1.436321,2.917076
112.899000,84.860000,28.039000,0.929993,0.948282,85.832404,1.432375,2.917092
113.050000,84.860000,28.190000,0.930169,0.948637,85.838516,1.428978,2.917105
113.200000,84.860000,28.340000,0.930501,0.949027,85.844630,1.425623,2.917118
113.351000,84.860000,28.491000,0.933315,0.941694,85.842540,1.410718,2.917175
113.509000,84.860000,28.649000,0.937245,0.942262,85.848830,1.407570,2.917187
113.671000,84.860000,28.811000,0.940784,0.942961,85.856020,1.404040,2.917201
113.832000,84.860000,28.972000,0.941756,0.943849,85.864509,1.399959,2.917216
113.996000,84.860000,29.136000,0.943211,0.944808,85.873049,1.395937,2.917232
114.147000,84.860000,29.287000,0.944697,0.945621,85.879900,1.392766,2.917244
114.308000,84.860000,29.448000,0.945200,0.946538,85.887270,1.389407,2.917257
114.469000,84.860000,29.609000,0.948586,0.929888,85.875009,1.361477,2.916511
114.634000,84.860000,29.774000,0.952076,0.934089,85.885054,1.363580,2.916476
114.795000,84.860000,29.935000,0.954154,0.938013,85.894373,1.365563,2.916443
114.956000,84.860000,30.096000,0.956498,0.941887,85.903513,1.367540,2.916409
115.118000,84.860000,30.258000,0.956194,0.944816,85.910384,1.369047,2.916384
115.279000,84.860000,30.419000,0.955525,0.946503,85.914325,1.369919,2.916369
115.440000,84.860000,30.580000,0.957012,0.944395,85.913512,1.365605,2.916442
